raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-021,random-default,selected,68+69+71+74+90+97+98+99+100,9,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-021.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-021,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-021.log
raw-022,random-sync-heavy,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-022,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-022.log
raw-023,random-hybrid,unsafe-nonconstant-size:72+91,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-023,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-023.log
raw-024,random-default,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-024,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-024.log
raw-025,random-hybrid,unsafe-nonconstant-size:2+25+27+29+33+35+72+75+81+82+91+92+94,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-025,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-025.log
raw-026,random-hybrid,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-026,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-026.log
raw-027,random-size-heavy,no-selected-sites,,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-027.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-027,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-027.log
raw-028,random-default,duplicate-static:raw-004,68+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-028.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-028,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-028.log
raw-029,random-hybrid,unsafe-nonconstant-size:72,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-029,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-029.log
raw-030,random-escape-heavy,selected,21+68+69+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/configs/raw-030.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/builds/raw-030,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/build-logs/raw-030.log
