phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,10.0007,4.99758,135041792,2.70215e+07,270085120,2.70067e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,15.0034,5.00269,134196935,2.6825e+07,404282055,2.69461e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,5.0031,5.0031,133343744,2.66522e+07,133343744,2.66522e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,10.0007,4.99757,133521408,2.67173e+07,266865152,2.66847e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,15.0055,5.00485,134554851,2.68849e+07,401420003,2.67515e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,5.00047,5.00047,144011008,2.87995e+07,144011008,2.87995e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,10.0006,5.0001,145410816,2.90816e+07,289421824,2.89405e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,15.0039,5.00329,145280199,2.90369e+07,434702023,2.89727e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,5.0023,5.0023,137304576,2.74483e+07,137304576,2.74483e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,10.0007,4.99837,137751296,2.75592e+07,275055872,2.75037e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-v2-20260822-012131/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
