phase,candidate,replicate,position,requested_mode,benchmark,workload,config,repeat,actual_mode,elapsed_sec,interval_sec,interval_ops,interval_ops_per_sec,cumulative_ops,cumulative_ops_per_sec,final,log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,10.0005,4.99989,136353024,2.72712e+07,272583424,2.72571e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-001,1,3,cxl,xindex,a,hotset-use-target,1,remote,15.0021,5.00161,135302087,2.70517e+07,407885511,2.71886e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/003-screen-raw-001-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,5.00058,5.00058,143139840,2.86247e+07,143139840,2.86247e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,10.0006,4.99999,144128512,2.88257e+07,287268352,2.87252e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,4,cxl,xindex,a,hotset-use-target,1,remote,15.0019,5.00132,142839495,2.85604e+07,430107847,2.86703e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/004-screen-raw-002-r01-cxl/logs/xindex_a_hotset-use-target_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,5.00118,5.00118,136999424,2.73934e+07,136999424,2.73934e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,10.0007,4.99949,136239616,2.72507e+07,273239040,2.73221e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-002,1,5,local,xindex,a,hotset-use-local,1,local,15.0027,5.00204,136613262,2.73115e+07,409852302,2.73186e+07,1,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/005-screen-raw-002-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,5.0023,5.0023,145475840,2.90818e+07,145475840,2.90818e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
screen,raw-003,1,6,local,xindex,a,hotset-use-local,1,local,10.0005,4.99817,145826048,2.91759e+07,291301888,2.91288e+07,0,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/rows/006-screen-raw-003-r01-local/logs/xindex_a_hotset-use-local_r1.log
