raw_id,design,status,static_fingerprint,selected_site_count,config_path,build_dir,build_log
raw-030,random-worker-heavy,selected,72+90+97+98+99+100,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-030.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-030,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-030.log
raw-031,random-size-heavy,selected,68+72+75+90+97+98+99+100,8,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-031.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-031,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-031.log
raw-032,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-032,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-032.log
raw-033,random-size-heavy,selected,68+90+97+99,4,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-033.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-033,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-033.log
raw-034,random-sync-heavy,duplicate-static:raw-003,68+97+99,3,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-034.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-034,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-034.log
raw-035,random-sync-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-035,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-035.log
raw-036,random-worker-heavy,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-036,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-036.log
raw-037,random-hybrid,build-failed:1,,,,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-037,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-037.log
raw-038,random-size-heavy,selected,72+75+81+82+91+92,6,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-038.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-038,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-038.log
raw-039,random-worker-heavy,selected,97+98,2,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/configs/raw-039.config,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/builds/raw-039,/home/shin/arbiter/build/arbiter-bench/hotset-broad-sweep-20260819-234706/build-logs/raw-039.log
