site_id,kind,function,file,line,callee,size_expr,estimated_bytes,score,role,group_id,selected,reasons,member_affinity,member_access_kind,member_access_depth
52,cxx-new,re_init,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%297,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
53,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
54,cxx-new,re_init,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_root_impl.h,95,_ZnwmSt11align_val_t,64,64,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;hotset-rejected:expansion-none",0,,-1
55,cxx-new-array,re_init,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,41,_Znam,%353,4096,5,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
56,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
57,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
58,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
59,cxx-delete,re_init,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
60,cxx-new,prepare,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%9,4096,5,rejected,0,no,"escapes-store;pthread-worker-reachable;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
61,cxx-new,prepare,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%35,4096,2,rejected,0,no,"pthread-worker-reachable;dynamic-size-excluded;no-escape;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
62,cxx-delete,prepare,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
63,cxx-delete,prepare,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
64,cxx-new,train_rmi,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%10,4096,5,rejected,0,no,"escapes-store;pthread-worker-reachable;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
65,cxx-delete,train_rmi,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
66,cxx-new,train_rmi,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%62,4096,5,rejected,0,no,"escapes-store;pthread-worker-reachable;dynamic-size-excluded;no-sync-mutable;hotset-rejected:expansion-none",0,,-1
67,cxx-delete,train_rmi,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
68,cxx-new,hash,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,80,_Znwm,96,96,12,rejected,0,no,"escapes-store;escapes-call;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;hotset-rejected:expansion-none",0,,-1
69,cxx-new,hash,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,8,8,10,rejected,0,no,"escapes-store;sync-atomic-rmw-or-cmpxchg-same-function;sync-atomic-or-volatile-store-same-function;sync-inline-asm-same-function;hotset-rejected:expansion-none",0,,-1
70,cxx-delete,hash,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
71,malloc,allocate_leaf,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_buffer_impl.h,832,malloc,520,520,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
72,cxx-new,allocate_leaf,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%38,4096,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
73,cxx-delete,allocate_leaf,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
74,malloc,allocate_internal,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_buffer_impl.h,832,malloc,520,520,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;hotset-rejected:expansion-none",0,,-1
75,cxx-new,allocate_internal,/usr/include/c++/11/ext/new_allocator.h,127,_Znwm,%38,4096,7,rejected,0,no,"escapes-store;sync-atomic-or-volatile-store-same-function;pthread-worker-reachable;dynamic-size-excluded;hotset-rejected:expansion-none",0,,-1
76,cxx-delete,allocate_internal,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
77,cxx-delete,free_data,/usr/include/c++/11/ext/new_allocator.h,145,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
78,free,free_data,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_buffer_impl.h,47,free,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
79,cxx-delete,free_data,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,200,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
80,cxx-delete,free_data,/home/shin/arbiter/benchmark/xindex/XIndex-H/xindex_group_impl.h,202,_ZdlPv,,0,0,rejected,0,no,"not-supported-allocation;hotset-rejected:unsupported-kind",0,,-1
